
🚀 猫课电商管理落地班核心工具
📍 访问地址: http://localhost:5009
📊 模块数量: 6
🤖 默认模型: gemini-3-flash-preview

 * Serving Flask app 'app'
 * Debug mode: off
Address already in use
Port 5009 is in use by another program. Either identify and stop that program, or start the server with a different port.
2026-01-04 14:52:50,208 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 14:52:50,313 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 14:55:20,956 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 14:55:21,120 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 14:55:46,386 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 14:55:46,518 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 14:55:47,028 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 14:56:13,935 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 14:56:22,527 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:00:57,741 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:00:58,051 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:01:13,434 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:01:13,581 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:01:13,791 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:01:17,871 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.market_price "HTTP/2 200 OK"
2026-01-04 15:01:18,275 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:01:18,546 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:01:19,652 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:01:19,982 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:01:20,539 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:01:55,668 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:01:55,769 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:01:55,922 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:36,352 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.market_price "HTTP/2 200 OK"
2026-01-04 15:04:36,466 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:04:36,733 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:38,984 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:04:39,081 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:04:39,242 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:42,092 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/user_memory?select=%2A&user_id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:42,204 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/knowledge_files?select=%2A&module_id=eq.kpi&order=created_at.desc "HTTP/2 200 OK"
2026-01-04 15:04:42,305 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/module_prompts?select=prompt&module_id=eq.kpi "HTTP/2 200 OK"
2026-01-04 15:04:42,307 [INFO] modules.ai_service: [CloseAI] 流式请求，模型: gemini-3-flash-preview
2026-01-04 15:04:45,150 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&id=eq.market_price "HTTP/2 200 OK"
2026-01-04 15:04:45,248 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/modules?select=%2A&order=sort_order "HTTP/2 200 OK"
2026-01-04 15:04:45,413 [INFO] httpx: HTTP Request: GET https://uitkbrmndylhgbbcjykd.supabase.co/rest/v1/profiles?select=%2A&id=eq.e553068b-2220-4cf8-a899-89f614797530 "HTTP/2 200 OK"
2026-01-04 15:04:51,118 [INFO] modules.ai_service: [CloseAI] 流式响应完成
